9952163431901401,.b10263056,History of the House of Representatives / George B. Galloway.,"Crowell,",c1976.
9952163587801401,.b1029773x,Discours de Suede.,Gallimard,[1958].
9952163782901401,.b10322036,Love and language : a study of the classical French moralist writers / Louise K. Horowitz.,"Ohio State University Press,",c1977.
9952163968001401,.b10350445,Wyoming : a Bicentennial history / T. A. Larson.,"Norton,",c1977.
9952166645101401,.b10626384,Satire: critical essays on Roman literature. Edited by J. P. Sullivan.,Indiana University Press,"[1968, c1963]"
9952167149501401,.b10682090,"The speeches : Pro lege Manilia, Pro Caecina, Pro Cluentio, Pro Rabirio perduellionis / with an English translation by H. Grose Hodge.",Harvard University Press ;,1966.
9952167278101401,.b10729513,The dyer's hand and other essays / W.H. Auden.,"Random House,",1962.
9952167956201401,.b1080951x,"The familiar letter in the eighteenth century. Edited by Howard Anderson, Philip B. Daghlian [and] Irvin Ehrenpreis.","University of Kansas Press,",1966.
9952168065701401,.b10818960,"Swift: the man, his works, and the age.","Harvard University Press,",1962-<1983>
9952168067801401,.b10823153,Le Moyen age...,Arthaud,[1970-71]
9952168195801401,.b10829179,La joie.,Plon,[1929]
9952168435801401,.b10847467,Dieu crea d'abord Lilith ... roman.,Plon,[1937]
9952168469801401,.b10854733,The works of Samuel Johnson.,Pafraets Book Co.,[1903]
9952168474801401,.b10854459,"Partage de midi, drame.",Gallimard,[1949]
9952168497601401,.b10850107,Kind-hartes dreame 1592; William Kemp: Nine daies wonder 1600.,"John Lane, The Bodley Head ltd.",[1923]
9952168504901401,.b1085566x,"Les enfants terribles, roman.",B. Grasset,[c1929]
9952168546201401,.b10846657,"The mauve decade; American life at the end of the nineteenth century, by Thomas Beer ...","A.A. Knopf,",1926.
9952168579101401,.b10873569,La religion des classiques (1660-1685),"Presses Universitaires de France,",1948.
9952168619501401,.b10864891,L'esthetique sans paradoxe de Diderot.,"Gallimard,",1950.
9952168659901401,.b1087057x,Mythes et mythologies dans la litterature francaise.,"A. Colin,",1969.
9952168719401401,.b10871809,Vue de la terre promise.,"Mercure de France,",c1934.
9952168802501401,.b10889814,A propos de Clemence; roman.,Les Lettres nouvelles,[1971]
9952168804801401,.b10900950,"Remy de Gourmont, a modern man of letters, by Richard Aldington.","University of Washington book store,",1928.
9952168962301401,.b10923949,"Gongorism and the golden age; a study of exuberance and unrestraint in the arts, by Elisha K. Kane, with decorations by the author.","University of North Carolina press,",[1928]
9952168998701401,.b10921618,Modernismo in Chilean literature: the second period [by] John M. Fein.,Duke University Press,[1965]
9952169035201401,.b10920985,"Historia personal de la literatura chilena, desde don Alonso de Ercilla hasta Pablo Neruda [por] Alone [pseud.",Zig-Zag,[1954]
9952169104701401,.b10901413,Precieux Giraudoux.,Editions du Seuil,[1945]
9952169106001401,.b10901255,"Chaque homme dans sa nuit, roman.",Plon,[1960]
9952169130801401,.b10925181,Historia de la poesia hispano-americana por el doctor Don Marcelino Menendez y Pelayo ...,"V. Suarez,",1911-1913.
9952169186401401,.b10929885,"Le temple du goût, [par] Voltaire. Ed. critique par E. Carcassonne.","Droz,",1953.
9952169384101401,.b1116976x,The genesis of the United States.,"Houghton, Mifflin and company,",1890.
9952170044301401,.b11236991,Historia de la literatura iberoamericana.,"Las Americas,",c1965.
9952170281201401,.b11275029,"El retorno; (una narracion poematica donde concluye ""El alejamiento"") / Eduardo Mallea.","Espasa-Calpe Argentina,",1946.
9952170483401401,.b11311940,African literature in French : a history of creative writing in French from west and equatorial Africa / Dorothy S. Blair.,"Cambridge University Press,",1976.
9952170533601401,.b11286398,Dictionary of French literature / edited by Sidney D. Braun.,"Philosophical Library,",1958.
9952170762001401,.b11332013,Obras historicas de Francisco Antonio de Fuentes y Guzman / edicion y estudio preliminar de Carmelo Saenz de Santa Maria.,"Ediciones Atlas,",1969-1972.
9952170777401401,.b11336390,Mexicana. Estudio preliminar y edicion de Jose Amor y Vazquez.,"Ediciones Atlas,",1970.
9952170902601401,.b11340526,Protestant churches and industrial America.,"Octagon Books,",1963 [c1949]
9952171189201401,.b11370385,"The Correspondence of the three William Byrds of Westover, Virginia, 1684-1776 / edited by Marion Tinling ; with a foreword by Louis B. Wright.","Published for the Virginia Historical Society [by] the University Press of Virginia,",1977.
9952171361601401,.b10959439,"Martin Rivas; novela de costumbres chilenas, por Alberto Blest Gana; edited with introduction, notes, and vocabulary by G.W. Umphrey ...",D.C. Heath and Company,[c1926]
9952171455601401,.b10976607,Pabellon de reposo.,Ediciones Destino,[1952]
9952171501201401,.b10951106,La malhora.,"Ediciones Botas,",1941.
9952171609401401,.b10970198,Las sonatas de Valle Inclan.,Editorial Gredos,[1955]
9952171736301401,.b10956372,"Jacinto Benavente, by Walter Starkie","H. Milford, Oxford university press,",1924.
9952171805401401,.b1098978x,"Analisis estilistico de los ""Milagros de Nuestra Señora"" de Berceo.",Gredos,[1971]
