9952166887801401,The true confessions of Charlotte Doyle /,b10674779,25498794,The true confessions of Charlotte Doyle
9952169232601401,The animals' merry Christmas /,b10915941,410135,The animals' merry Christmas
9952170145501401,THE ETHNOGRAPHIC INTERVIEW,b11248774,4493439,The ethnographic interview
9952171167201401,Twentieth-century American dramatists /,b11380172,268911024,Twentieth-century American dramatists
9952180547301401,"Fast Sam, Cool Clyde, and Stuff /",b18897083,16648654,"Fast Sam, Cool Clyde, and Stuff"
9952181710301401,Beauty : a retelling of the story of Beauty & the beast /,b26504406,4037372,Beauty : a retelling of the story of Beauty & the beast
9952181970901401,How I live now /,b26901328,65647727,How I live now
9952182192701401,"On Sundays, she picked flowers /",,1258404224,"On Sundays, she picked flowers"
