31-Oct-24 11:49:28 - INFO - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
31-Oct-24 11:49:28 - INFO - START OF UNSET LOG FOR 2024-10-31 11:49:28.342283
31-Oct-24 11:49:28 - INFO - ++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
31-Oct-24 11:49:56 - INFO - Response: {'controlNumber': '33989192', 'requestedControlNumber': '33989192', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:57 - INFO - Response: {'controlNumber': '35868263', 'requestedControlNumber': '35868263', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:58 - INFO - Response: {'controlNumber': '36883206', 'requestedControlNumber': '36883206', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:49:59 - INFO - Response: {'controlNumber': '850035230', 'requestedControlNumber': '850035230', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:01 - INFO - Response: {'controlNumber': '1132919495', 'requestedControlNumber': '1132919495', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:01 - INFO - Response: {'controlNumber': '31418066', 'requestedControlNumber': '31418066', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:03 - INFO - Response: {'controlNumber': '1132918200', 'requestedControlNumber': '1132918200', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:04 - INFO - Response: {'controlNumber': '1132893515', 'requestedControlNumber': '1132893515', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:05 - INFO - Response: {'controlNumber': '317307816', 'requestedControlNumber': '317307816', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
31-Oct-24 11:50:06 - INFO - Response: {'controlNumber': '42483375', 'requestedControlNumber': '42483375', 'institutionCode': '9969', 'institutionSymbol': 'MIQ', 'firstTimeUse': False, 'success': True, 'message': 'Unset Holdings Succeeded.', 'action': 'Unset Holdings'}
