9952161970801401,Patterns of attachment : a psychological study of the strange situation.,b10106236,4194069,Patterns of attachment : a psychological study of the strange situation
9952162699401401,Pacific sea shells; a handbook of common marine molluscs of Hawaii and the South Seas.,b10191148,1655226,Pacific sea shells; a handbook of common marine molluscs of Hawaii and the South Seas
9952166742501401,An introduction to the theory of groups /,b10647727,30028913,An introduction to the theory of groups
9952167873001401,Developments in the Rorschach technique /,b10797191,1833357,Developments in the Rorschach technique
9952172106201401,Light on yoga : yoga dipika /,b11031402,32015606,Light on yoga : yoga dipika
9952172634001401,"The supernatural, the occult, and the Bible /",b11066647,21908748,"The supernatural, the occult, and the Bible"
9952174999801401,"Infancy in Uganda; infant care and the growth of love,",b11609588,260505,Infancy in Uganda : infant care and the growth of love
9952178140701401,Handmade electronic music : the art of hardware hacking /,b12029087,1110469890,Handmade electronic music : the art of hardware hacking
9952178370901401,Lose your mother : a journey along the Atlantic slave route /,b12086356,71312800,Lose your mother : a journey along the Atlantic slave route
9952179692601401,Understanding Michael Porter : the essential guide to competition and strategy /,b14755713,701019415,Understanding Michael Porter : the essential guide to competition and strategy
9952179694501401,"The flavor bible : the essential guide to culinary creativity, based on the wisdom of America's most imaginative chefs /",b13839081,163614140,"The flavor bible : the essential guide to culinary creativity, based on the wisdom of America's most imaginative chefs"
9952179923101401,"Straight-A study skills : more than 200 essential strategies to ace your exams, boost your grades, and achieve lasting academic success /",b18015803,810948928,"Straight-A study skills : more than 200 essential strategies to ace your exams, boost your grades, and achieve lasting academic success"
9952180241401401,Abbott /,b2645094x,1023604247,Abbott
9952180450901401,Arráncame la vida,b18273518,694189979,Arráncame la vida
9952181517301401,Clash! : 8 cultural conflicts that make us who we are /,b17459965,819376819,Clash! : 8 cultural conflicts that make us who we are
9952182329701401,Transcendent kingdom /,,1119065931,Transcendent kingdom
9952182365101401,Teaching late-twentieth-century Mexicana and Chicana writers /,,1176322486,Teaching late-twentieth-century Mexicana and Chicana writers
9952182448801401,The contradictions /,,1159850194,The contradictions
9952367252701401,Here are the tears I you we didn't cry /,,on1385355757,Here are the tears I you we didn't cry
