Type / Creator / Imprint,,Subject,Series,Title,Relation,Creation Date,Modification Date,Edition,Uniform Title,Medium Type,Language,Open Access,Language Of Cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability,Availability (Network),,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork,Local Call Number,Other Classification Number,Handle Identifier
"Book {Book - Physical} By Stratton, Clarence, (New York, H Holt and Company [c1928])",,Little theater movement.   Theaters--United States. ,,"Theatron; an illustrated record, by Clarence Stratton.",,08/08/2022 14:41:24 ,01/28/2023 22:36:32 ,,,,English,,,,79173;(Mills)ocm01483406;(MillsTIND)52653,,,,,,,0,,,0,9952166078001401,,,792 S911t ,,
"Book {Book - Physical} By Sisson, Charles Jasper, (London, Boston, Routledge and K Paul, 1972.)",,"Boar&apos;s Head Playhouse (Whitechapel, London, England) ",,The Boar's Head Theatre: an inn-yard theatre of the Elizabethan age; edited by Stanley Wells.,,08/08/2022 14:41:24 ,01/28/2023 22:49:32 ,,,,English,,,071007252X ,79151;(Mills)ocm00361627;(MillsTIND)52580,9780710072528 ,,,,,,0,,,0,9952166075801401,,,792 S623b ,,
"Book {Book - Physical} By Smith, Winifred, (New York, Coward-McCann, inc, 1930.)",,Actors--Italy.   Actresses--Italy.   Theater--Italy. ,,"Italian actors of the renaissance, by Winifred Smith ...",,08/08/2022 14:41:24 ,01/28/2023 22:51:48 ,,,,English,,,,79162;(Mills)ocm01128123;(MillsTIND)52615,,,,,,,0,,,0,9952166071701401,,,792 S664i ,,
"Book {Book - Physical} By Sievers, W. David (Dubuque, Iowa, W C Brown Co [1961])",,Theater--Production and direction.   College and school drama. ,,Directing for the theatre.,,08/08/2022 14:41:27 ,01/28/2023 22:32:48 ,,,,English,,,,79133;(Mills)ocm02097835;(MillsTIND)52524,,,,,,,0,,,0,9952166066901401,,,792 S573d ,,
"Book {Book - Physical} By Nathan, George Jean, (New York, London, A A Knopf, 1936.)",,Theater--United States.   Drama--20th century--History and criticism. ,,"The theatre of the moment, a journalistic commentary [by] George Jean Nathan.",,08/08/2022 14:40:51 ,01/28/2023 22:44:14 ,,,,English,,,,79001;(Mills)ocm01810817;(MillsTIND)52064,,,,,,,0,,,0,9952165871701401,,,792 N274t ,,
"Book {Book - Physical} By Williams, Harcourt, (London, Winchester [1949])",,"Old Vic Theatre (London, England) ",,Old Vic saga.,,08/08/2022 14:40:59 ,01/28/2023 22:56:05 ,,,,English,,,,79040;(Mills)ocm01938615;(MillsTIND)52197,,,,,,,0,,,0,9952165857601401,,,792 O44w ,,
"Book {Book - Physical} By MacQueen, John. (London : Methuen, c1970.)",,Allegory. ,Critical idiom ; 14.,Allegory / John MacQueen.,,08/08/2022 14:38:24 ,01/28/2023 22:41:48 ,,,,English,,,0416080502 (pbk.) ,263104;(Mills)ocm34537872;(MillsTIND)46998,9780416080506 (pbk.) ,,,,,,0,,,0,9952165846001401,,,809.915 M173a 1970 ,,
"Book {Book - Physical} By Hohendahl, Peter Uwe. (St. Louis, Washington University Press [1972])",,European literature--History and criticism. ,,"Essays on European literature, in honor of Liselotte Dieckmann. Edited by Peter Uwe Hohendahl, Herbert Lindenberger [and] Egon Schwarz.",,08/08/2022 14:38:50 ,01/28/2023 22:47:05 ,,,,English,,,,263640;(Mills)ocm00481690;(MillsTIND)48822,,,,,,,0,,,0,9952165809101401,,,809.8 E78 1972 ,,
"Book {Book - Physical} By Brereton, Geoffrey. (Coral Gables, Fla. University of Miami Press [c1968])",,"Tragedy--History and criticism.   Tragic, The. ",,Principles of tragedy: a rational examination of the tragic concept in life and literature.,,08/08/2022 14:39:12 ,01/28/2023 22:49:31 ,,,,English,,,,263763;(Mills)ocm02570099;(MillsTIND)49240,,,,,,,0,,,0,9952165772001401,,,809.916 B492p 1968 ,,
"Book {Book - Physical} By Muecke, D. C. ([London] Methuen [1970])",,Irony.   Irony in literature. ,Critical idiom ; 13.,Irony [by] D. C. Muecke.,,08/08/2022 14:37:53 ,01/28/2023 22:54:03 ,,,,English,,,0416654207 (pbk.) ,263259;(Mills)ocm00105189;(MillsTIND)47527,9780416654202 (pbk.) ,,,,,,0,,,0,9952165620201401,,,809.91 M945i 1970 ,,
"Book {Book - Physical} By Melchinger, Siegfried. (Bremen, C Schunemann [c1956])",,Theater--Europe--History--20th century.   Opera--Europe--History--20th century.   Ballet--Europe--History--20th century. ,,Modernes Welttheater ; Lichter und Reflexe.,,08/08/2022 14:39:05 ,01/28/2023 22:54:02 ,,,,German,,,,263738;(Mills)ocm05429780;(MillsTIND)49153,,,,,,,0,,,0,9952165562401401,,,792.094 M518m 1956 ,,
"Book {Book - Physical} By DuFresne, Jim. (Hawthorn, Vic., Australia ; Berkeley, Calif. : Lonely Planet Publications, 1994.)",,Alaska--Guidebooks. ,Lonely Planet travel survival kit,Alaska : a travel survival kit / Jim DuFresne.,,08/08/2022 14:36:16 ,01/28/2023 22:39:10 ,4th ed.,,,English,,,086442213X (pbk.) : ,262554;(Mills)ocm33104423;(MillsTIND)45166,9780864422132 (pbk.) : ,,,,,,0,,,0,9952165400901401,,,917.98 D864a 1994 ,,
"Book {Book - Physical} By Hadfield, Miles. (Boston, Little, Brown 1964)",,Gardens in literature.   Gardens in art.   Gardens. ,,Gardens of delight [by] Miles & John Hadfield.,,08/08/2022 14:36:15 ,01/28/2023 22:36:29 ,1st American ed.,,,English,,,,14865;(Mills)RLINCMCG82-B3320;(MillsTIND)44351,,,,,,,0,,,0,9952165382501401,,,809.9 H129g ,,
"Book {Book - Physical} By Rice, Elmer, (New York, Los Angeles, London, S French 1931.)",,,,"The left bank, a play in three acts, by Elmer Rice.",,08/08/2022 14:27:18 ,01/28/2023 22:32:46 ,,,,English,,,,14651;(Mills)RLINCMCG82-B3103;(MillsTIND)43651,,,,,,,0,,,0,9952165314901401,,,812 R4954L ,,
"Book {Book - Physical} By Lee, Robert H. G. (Cambridge, Harvard University Press, 1970.)",,Manchuria (China)--Boundaries. ,Harvard East Asian series ; 43,The Manchurian frontier in Ch'ing history [by] Robert H. G. Lee.,,08/08/2022 14:24:53 ,01/28/2023 22:58:18 ,,,,English,,,0674547756 ,13368;(Mills)RLINCMCG82-B1791;(MillsTIND)39484,9780674547759 ,,,,,,0,,,0,9952165033101401,,,309.151 L479m ,,
"Book {Book - Physical} By Markus, Tom. (New York : Drama Book Specialists, c1979.)",,Acting--Vocational guidance. ,,"The professional actor, from audition to performance / Tom Markus.",,08/08/2022 14:24:04 ,01/28/2023 22:54:01 ,1st ed.,,,English,,,0910482918  and others,12868;(Mills)RLINCMCG82-B1282;(MillsTIND)38005,9780910482912  and others,,,,,,0,,,0,9952164944601401,,,792.028 M346p ,,
"Book {Book - Physical} By Kerr, Jean. (Garden City, N.Y., Doubleday, 1970.)",,,,"Penny candy [by] Jean Kerr. Illus. by Whitney Darrow, Jr.",,08/08/2022 14:24:04 ,01/28/2023 22:41:47 ,[1st ed.],,,English,,,,12876;(Mills)RLINCMCG82-B1290;(MillsTIND)38026,,,,,,,0,,,0,9952164943001401,,,817 K41pe ,,
"Book {Book - Physical} By Atkinson, Brooks, (New York, Harcourt, Brace [1951])",,"Freeman, Don,--ill. 1951. ",,Once around the sun.,,08/08/2022 14:24:21 ,01/28/2023 22:39:11 ,[1st. ed.],,,English,,,,12951;(Mills)RLINCMCG82-B1365;(MillsTIND)38211,,,,,,,0,,,0,9952164906401401,,,818 A875o ,,
"Book {Book - Physical} By Matthews, William, (New York, Appleton-Century-Crofts [1963])",,"English literature--Middle English, 1100-1500. ",Goldentree books,Later medieval English prose.,,08/08/2022 14:23:04 ,01/28/2023 22:58:22 ,,,,English,,,,12332;(Mills)RLINCMCG82-B738;(MillsTIND)36476,,,,,,,0,,,0,9952164745101401,,,820.8 M442L ,,
"Book {Book - Physical} By Sampson, Anthony. (London, Hodder & Stoughton, 1968.)",,Industries--Europe.   Europe--Economic integration.   Europe--Economic conditions--1945- ,,"The new Europeans: a guide to the workings, institutions and character of contemporary Western Europe.",,08/08/2022 14:22:30 ,01/28/2023 22:54:04 ,,,,English,,,0340044705 ,12203;(Mills)RLINCMCG82-B598;(MillsTIND)36092,9780340044704 ,,,,,,0,,,0,9952164513801401,,,309.14 S192n ,,
"Book {Book - Physical} By Anderson, Michael John, (New York, Crowell [1971])",,Drama--20th century--Dictionaries. ,Crowell reference book.,"Crowell's handbook of contemporary drama, by Michael Anderson ... and others.",,08/08/2022 14:22:31 ,01/28/2023 22:36:30 ,,,,English,,,0690226438 ,11874;(Mills)RLINCMCG82-B260;(MillsTIND)35111,9780690226430 ,,,,,,0,,,0,9952164505601401,,,809.2 C953 ,,
"Book {Book - Physical} By Writers' Program of the Work Projects Administration in the State of New Mexico. (New York: Hastings House, 1962.)",,New Mexico--Guidebooks. ,American guide series.,New Mexico: a guide to the colorful state / Compiled by workers of the Writers' Program of the Work Projects Administration  in the state of New Mexico. Rev. ed. by Joseph Miller. Edited by Henry G. Alsberg.,,08/08/2022 14:22:04 ,01/28/2023 22:39:09 ,New and completely rev. ed.,,,English,,,,11681;(Mills)RLINCMCG82-B61;(MillsTIND)34486,,,,,,,0,,,0,9952164356401401,,,917.89 W956n 1962 ,,
"Book {Book - Physical} By Veeder, William R. (Chicago : University of Chicago Press, 1975.)",,"James, Henry,--1843-1916--Criticism and interpretation. ",,Henry James : the lessons of the master : popular fiction and personal style in the nineteenth century / William Veeder.,,08/08/2022 14:21:05 ,01/28/2023 22:44:11 ,,,,English,,,0226852237 ,10993;(Mills)RLINCMCG81-B56;(MillsTIND)32305,9780226852232 ,,,,,,0,,,0,9952164200201401,,,813 J27Xv ,,
"Book {Book - Physical} By Kelley, Cornelia Pulsifer. (Univ. of Illinois Press, 1965.)",,"James, Henry,--1843-1916. ",,"The early development of Henry James, by Cornelia Pulsifer Kelley. With an introd. by Lyon N. Richardson.",,08/08/2022 14:21:04 ,01/28/2023 22:44:11 ,Rev. ed.,,,English,,,,10994;(Mills)RLINCMCG81-B57;(MillsTIND)32309,,,,,,,0,,,0,9952164199801401,,,813 J27Xke 1965 ,,
"Book {Book - Physical} By Giamatti, A. Bartlett. (Princeton, N. J., Princeton University Press, 1966.)",,Gardens in literature.   Epic poetry--History and criticism. ,,The earthly paradise and the Renaissance epic [by]A. Bartlett Giamatti.,,08/08/2022 14:22:18 ,01/28/2023 22:47:05 ,,,,English,,,069101292X ,11731;(Mills)RLINCMCG82-B115;(MillsTIND)34644,9780691012926 ,,,,,,0,,,0,9952164157501401,,,809.1 G432e ,,
"Book {Book - Physical} By Sandmel, Samuel. (New York : Oxford University Press, 1977.)",,United States--Civilization--1970- ,Weil lectures on American citizenship ; 1976.,Tomorrow's American / edited by Samuel Sandmel.,,08/08/2022 14:18:10 ,01/28/2023 22:36:29 ,,,,English,,,0195021606 : ,10049;(Mills)RLINCMCG7018436-B;(MillsTIND)29066,9780195021608 : ,,,,,,0,,,0,9952164150501401,,,309.173 T661 ,,
"Book {Book - Physical} By Anderson, Charles Roberts, (Durham, N.C. : Duke University Press, 1977.)",,"James, Henry,--1843-1916--Criticism and interpretation. ",,"Person, place, and thing in Henry James's novels / Charles R. Anderson.",,08/08/2022 14:18:47 ,01/28/2023 22:51:48 ,,,,English,,,0822303957 : ,10563;(Mills)RLINCMCG7757166-B;(MillsTIND)30830,9780822303954 : ,,,,,,0,,,0,9952164071101401,,,813 J27Xan ,,
"Book {Book - Physical} By Irving, Washington, (Boston : Twayne Publishers, 1978.)",,,Works. The complete works of Washington Irving ; v. 8,"The sketch book of Geoffrey Crayon, gent. / Washington Irving ; edited by Haskell S. Springer.",,08/08/2022 14:18:02 ,01/28/2023 22:49:33 ,,,,English,,,0805785108 ,10129;(Mills)RLINCMCG7112700-B;(MillsTIND)29347,9780805785104 ,,,,,,0,,,0,9952164039201401,,,818 I72Aws ,,
"Book {Book - Physical} By Irving, Washington, (Boston : Twayne Publishers, 1978.)",,"Goldsmith, Oliver,--1730?-1774--Biography.   Davidson, Margaret Miller,--1823-1838--Biography.   Authors, English--18th century--Biography.  and others",Works. The complete works of Washington Irving ; v. 17,Oliver Goldsmith : a biography ; Biography of the late Margaret Miller Davidson / Washington Irving ; edited by Elsie Lee West.,,08/08/2022 14:18:38 ,01/28/2023 22:51:46 ,,,,English,,,0805785213 ,10445;(Mills)RLINCMCG7680333-B;(MillsTIND)30422,9780805785210 ,,,,,,0,,,0,9952163999001401,,,818 I72Awo ,,
"Book {Book - Physical} By Zavarzadeh, Masʼud, (Urbana : University of Illinois Press, c1976.)",,Nonfiction novel.   American fiction--20th century--History and criticism. ,,The mythopoeic reality : the postwar American nonfiction novel / Masud Zavarzadeh.,,08/08/2022 14:18:51 ,01/28/2023 22:32:46 ,,,,English,,,0252005236 : ,10736;(Mills)RLINCMCG7877463-B;(MillsTIND)31424,9780252005237 : ,,,,,,0,,,0,9952163978301401,,,818.Z39m ,,
"Book {Book - Physical} By Irving, Washington, (Boston : Twayne Publishers, 1977.)",,,Works. The complete works of Washington Irving ; v. 6,"Letters of Jonathan Oldstyle, gent. ; Salmagundi : or, The whim-whams and opinions of Launcelot Langstaff, Esq. & others / Washington Irving ; edited by Bruce I. Granger and Martha Hartzog.",,08/08/2022 14:18:55 ,01/28/2023 22:54:02 ,,,,English,,,0805785094 ,9673;(Mills)RLINCMCG6570313-B;(MillsTIND)27841,9780805785098 ,,,,,,0,,,0,9952163972601401,,,818 I72AwL ,,
"Book {Book - Physical} By Irving, Washington, (Boston : Twayne Publishers, 1977.)",,"Bonneville, Benjamin Louis Eulalie de,--1796-1878.   West (U.S.)--Description and travel.   Northwestern States--Description and travel. ",Works. The Complete works of Washington Irving ; v. 6,The adventures of Captain Bonneville / edited by Robert A. Rees and Alan Sandy.,,08/08/2022 14:17:01 ,01/28/2023 22:58:23 ,,,,English,,,0805785086 ,9465;(Mills)RLINCMCG6342523-B;(MillsTIND)27174,9780805785081 ,,,,,,0,,,0,9952163945301401,,,818 I72Awad ,,
"Book {Book - Physical} By Farber, Donald C. (New York : Drama Book Specialists, c1977.)",,Theater--Production and direction.   Off-Broadway theater. ,,From option to opening / Donald C. Farber.,,08/08/2022 14:16:33 ,01/28/2023 22:36:30 ,"3d. ed., rev.",,,English,,,0910482802 : ,9571;(Mills)RLINCMCG6421997-B;(MillsTIND)27526,9780910482806 : ,,,,,,0,,,0,9952163851201401,,,792.02 F219f 1977 ,,
"Book {Book - Physical} By Riley, Frank. (Los Angeles : WorldWay Pub Co c1976.)",,"Anza, Juan Bautista de,--1735-1788.   Trails--California.   Cycling--California.  and others",,De Anza's trail today / by Frank Riley ; photography by Frank & Elfriede Riley.,,08/08/2022 14:17:17 ,01/28/2023 22:49:28 ,,,,English,,,,9881;(Mills)RLINCMCG6805655-B;(MillsTIND)28508,,,,,,,0,,,0,9952163814601401,,,917.94 R573d ,,
"Book {Book - Physical} By Champigny, Robert, (Monte-Carlo, Editions Regain, [c1963])",,French poetry.   Poetics. ,,Le genre poetique; essai.,,08/08/2022 14:17:22 ,01/28/2023 22:32:48 ,,,,French,,,,257066;(Mills)CMCG95-B2089;(MillsTIND)27690,,,,,,,0,,,0,9952163807801401,,,809.1 C4518p 1963 ,,
"Book {Book - Physical} By Herbert, T. Walter (New Brunswick, N.J. : Rutgers University Press, c1977.)",,"Melville, Herman,--1819-1891--Religion.   Melville, Herman,--1819-1891.--Moby Dick.   Calvinism in literature. ",,"Moby Dick and Calvinism : a world dismantled / T. Walter Herbert, Jr.",,08/08/2022 14:17:28 ,01/28/2023 22:32:45 ,,,,English,,,0813508290 ,9699;(Mills)RLINCMCG6579256-B;(MillsTIND)27928,9780813508290 ,,,,,,0,,,0,9952163795701401,,,813.3 M531mDh 1977 ,,
"Book {Book - Physical} By Arnott, Peter D. (Totowa, N.J. : Rowman and Littlefield, 1977.)",,Theater--France--History.   French drama--17th century--History and criticism. ,,An introduction to the French theatre / Peter D. Arnott.,,08/08/2022 14:17:28 ,01/28/2023 22:47:03 ,,,,English,,,0874719496 : ,9709;(Mills)RLINCMCG6610340-B;(MillsTIND)27959,9780874719499 : ,,,,,,0,,,0,9952163792701401,,,792.0944 A764i ,,
"Book {Book - Physical} By Garvey, Gerald, (Lexington, Mass. : Lexington Books, c1977.)",,Nuclear industry--United States.   United States--Social policy. ,,Nuclear power and social planning : the city of the second sun / Gerald Garvey.,,08/08/2022 14:17:32 ,01/28/2023 22:41:48 ,,,,English,,,066901303X ,9895;(Mills)RLINCMCG6809650-B;(MillsTIND)28556,9780669013030 ,,,,,,0,,,0,9952163790401401,,,309.212 G244n ,,
"Book {Book - Physical} By Whitbourn, Christine J. (London, New York, University of Hull by Oxford University Press, 1974.)",,"Picaresque literature, European--History and criticism.   Swindlers and swindling in literature.   Rogues and vagabonds in literature. ",University of Hull publications,Knaves and swindlers; essays on the picaresque novel in Europe. Edited by Christine J. Whitbourn.,,08/08/2022 14:17:41 ,01/28/2023 22:36:30 ,,,,English,,,0197134203 ,257487;(Mills)CMCG95-B2226;(MillsTIND)29044,9780197134207 ,,,,,,0,,,0,9952163772101401,,,809.3 K67 1974 ,,
"Book {Book - Physical} By Hathorn, Richmond Y. (Bloomington, Ind. : Indiana University Press, 1966, c1962.)",,Drama--History and criticism.   Tragedy. ,,"Tragedy, myth, and mystery / Richmond Y. Hathorn.",,08/08/2022 14:17:50 ,01/28/2023 22:56:07 ,,,,English,,,,257679;(Mills)CMCG95-B2286;(MillsTIND)29719,,,,,,,0,,,0,9952163756801401,,,809.2 H364t 1962 ,,
"Book {Book - Physical} By Poland, Albert. ([Indianapolis, Bobbs-Merrill, c1972])",,American drama--20th century.   Off-Broadway theater. ,,"The off, off Broadway book; the plays, people, theatre. Edited by Albert Poland and Bruce Mailman.",,08/08/2022 14:15:45 ,01/28/2023 22:58:22 ,,,,English,,,,8783;(Mills)RLINCMCG5538378-B;(MillsTIND)25146,,,,,,,0,,,0,9952163747501401,,,812.08 P762of ,,
"Book {Book - Physical} By Tyrrell, R. Emmett. (Garden City, N.Y. : Doubleday, 1977.)",,Socialism--Great Britain. ,,"The Future that doesn't work : social democracy's failures in Britain / edited by R. Emmett Tyrrell, Jr. ; [contributors] Samuel Brittan ... et al.].",,08/08/2022 14:16:01 ,01/28/2023 22:44:11 ,1st ed.,,,English,,,0385121865 : ,8987;(Mills)RLINCMCG5836239-B;(MillsTIND)25749,9780385121866 : ,,,,,,0,,,0,9952163726801401,,,309.142 T993f ,,
"Book {Book - Physical} By Ward, Douglas Turner. (New York : Third Press, [1971, c1966])",,Olin Library Black authors. ,,Two plays/ by Douglas Turner Ward ; introd. by Sheila A. Rush.,,08/08/2022 14:16:01 ,01/28/2023 22:49:32 ,,Happy ending,,English,,,089388006X ,256440;(Mills)CMCG95-B1501;(MillsTIND)25778,9780893880064 ,,,,,,0,,,0,9952163723601401,,,812.54 W257t 1966 ,,
"Book {Book - Physical} By Tilton, John W. (Lewisburg, [Pa.] : Bucknell University Press, c1977.)",,"Burgess, Anthony,--1917-1993.--Clockwork orange.   American fiction--20th century--History and criticism.   Satire, American--History and criticism. ",,Cosmic satire in the contemporary novel / John W. Tilton.,,08/08/2022 14:16:12 ,01/28/2023 22:54:00 ,,,,English,,,0838713785 : ,9088;(Mills)RLINCMCG5972779-B;(MillsTIND)26038,9780838713785 : ,,,,,,0,,,0,9952163708701401,,,813.09 T518c ,,
"Book {Book - Physical} By Brashear, William R. (Athens : University of Georgia Press, c1977.)",,"English literature--History and criticism.   Tragic, The.   Despair in literature.  and others",,The gorgon's head : a study in tragedy and despair / William R. Brashear.,,08/08/2022 14:16:16 ,01/28/2023 22:49:31 ,,,,English,,,0820303917 : ,9148;(Mills)RLINCMCG6024394-B;(MillsTIND)26211,9780820303918 : ,,,,,,0,,,0,9952163703101401,,,809.9 B823g ,,
"Book {Book - Physical} By Irving, Washington, (Boston : Twayne Publishers, 1977.)",,,Works. The complete works of Washington Irving ; v. 9,"Bracebridge Hall : or, The humourists : a medley / by Geoffrey Crayon [i.e.] Washington Irving ; edited by Herbert F. Smith.",,08/08/2022 14:16:34 ,01/28/2023 22:51:49 ,,,,English,,,080578506X : ,9434;(Mills)RLINCMCG6308929-B;(MillsTIND)27085,9780805785067 : ,,,,,,0,,,0,9952163673201401,,,818 I72Awb ,,
"Book {Book - Physical} By Kitchin, Laurence. (London : Faber and Faber, 1962.)",,Theater--Great Britain.   Actors. ,,Mid-century drama.,,08/08/2022 14:16:03 ,01/28/2023 22:47:06 ,"2nd ed., rev.",,,English,,,,9195;(Mills)RLINCMCG6049230-B;(MillsTIND)26343,,,,,,,0,,,0,9952163609301401,,,792.0941 K62m ,,
"Book {Book - Physical} By Mauron, Charles. (Paris : J Corti, [1970])",,Comedy.   Psychoanalysis and literature. ,,"Psychocritique du genre comique : Aristophane, Plaute, Terence, Moliere / Charles Mauron.",,08/08/2022 14:16:19 ,01/28/2023 22:51:47 ,,,,French,,,,256666;(Mills)CMCG95-B1640;(MillsTIND)26420,,,,,,,0,,,0,9952163592301401,,,809.252 M457p 1970 ,,
"Book {Book - Physical} By Blanchot, Maurice. ([Paris] Gallimard [1949])",,"Literature, Modern--History and criticism. ",,La part du feu.,,08/08/2022 14:16:27 ,01/28/2023 22:58:20 ,,,,French,,,,256541;(Mills)CMCG95-B1553;(MillsTIND)26064,,,,,,,0,,,0,9952163574801401,,,809.04 B641p 1949 ,,
"Book {Book - Physical} By Maillard, Jean-François. (Paris : A G Nizet, 1973.)",,"Literature, Modern--17th century--History and criticism.   Baroque literature--History and criticism.   Heroes in literature. ",,"Essai sur l'esprit du heros baroque, 1580-1640 : le même et l'autre.",,08/08/2022 14:14:34 ,01/28/2023 22:54:03 ,,,,French,,,,255363;(Mills)CMCG95-B630;(MillsTIND)22489,,,,,,,0,,,0,9952163534901401,,,809.933 M219e 1973 ,,
"Book {Book - Physical} By Shevky, Eshref. (Westport, Conn., Greenwood Press [1972, c1955])",,Social surveys.   Social surveys--California--San Francisco Bay Area.   San Francisco Bay Area (Calif.)--Social conditions. ,Stanford sociological series ; 1,"Social area analysis: theory, illustrative application, and computational procedures, by Eshref Shevky and Wendell Bell.",,08/08/2022 14:14:32 ,01/28/2023 22:49:31 ,,,,English,,,0837159873 ,8352;(Mills)RLINCMCG4951786-B;(MillsTIND)23833,9780837159874 ,,,,,,0,,,0,9952163525901401,,,309.1794 S554so ,,
"Book {Book - Physical} By Eagle, Dorothy. (Oxford : Clarendon Press, 1977.)",,Literary landmarks--Great Britain--Dictionaries.   Great Britain--Guidebooks. ,,"The Oxford literary guide to the British Isles / compiled and edited by Dorothy Eagle, Hilary Carnell.",,08/08/2022 14:14:32 ,01/28/2023 22:39:10 ,,,,None of the above,,,,8207;(Mills)RLINCMCG4763157-B;(MillsTIND)23380,,,,,,,0,,,0,9952163522101401,,,820.E11o ,,
"Book {Book - Physical} By Gildersleeve, Virginia Crocheron, (New York : Columbia Univ Press, 1962.)",,,,A hoard for winter.,,08/08/2022 14:15:30 ,01/28/2023 22:58:19 ,,,,English,,,,8432;(Mills)RLINCMCG5004241-B;(MillsTIND)24097,,,,,,,0,,,0,9952163473901401,,,814 G468h ,,
"Book {Book - Physical} By Porte, Joel. (Middletown, Conn. : Wesleyan University Press, c1969.)",,American fiction--19th century--History and criticism. ,,"The romance in America : studies in Cooper, Poe, Hawthorne, Melville, and James / by Joel Porte.",,08/08/2022 14:15:31 ,01/28/2023 22:56:05 ,1st ed.,,,English,,,,256013;(Mills)CMCGR5950-B;(MillsTIND)24524,,,,,,,0,,,0,9952163465101401,,,813.309 P843r 1969 ,,
"Book {Book - Physical} By Leslie, Frank, (Nieuwkoop [Netherlands] B. De Graaf, 1972.)",,West (U.S.)--Description and travel.   California--Description and travel. ,Women on the move,"California: a pleasure trip from Gotham to the Golden Gate, April, May, June, 1877 [by] Mrs. Frank Leslie. Facsim. with an introd. by Madeleine B. Stern.",,08/08/2022 14:15:32 ,01/28/2023 22:32:48 ,,,,English,,,9060043049 ,8569;(Mills)RLINCMCG5216257-B;(MillsTIND)24525,9789060043042 ,,,,,,0,,,0,9952163464601401,,,917.94 L636c ,,
"Book {Book - Physical} By Carter, Jimmy, (New York : Simon and Schuster, c1977.)",,"Carter, Jimmy,--1924-   United States--Politics and government--1974-1977.   United States--Politics and government--1977-1981.  and others",,A government as good as its people / by Jimmy Carter.,,08/08/2022 14:14:32 ,01/28/2023 22:32:45 ,,,,English,,,0671228153 ,8289;(Mills)RLINCMCG4868196-B;(MillsTIND)23645,9780671228156 ,,,,,,0,,,0,9952163445001401,,,309.173 C323g ,,
"Book {Book - Physical} By Reed, Walter L. (New Haven : Yale University Press, 1974.)",,Fiction--19th century--History and criticism.   Heroes in literature. ,,Meditations on the hero : a study of the romantic hero in nineteenth-century fiction / Walter L. Reed.,,08/08/2022 14:14:32 ,01/28/2023 22:51:48 ,,,,English,,,0300017359 ,8238;(Mills)RLINCMCG4813073-B;(MillsTIND)23487,9780300017359 ,,,,,,0,,,0,9952163433101401,,,809.3 R327m ,,
"Book {Book - Physical} By Cooley, Thomas, (Columbus : Ohio State University Press, c1976.)",,Autobiography.   American literature--History and criticism. ,,Educated lives : the rise of modern autobiography in America / Thomas Cooley.,,08/08/2022 14:14:33 ,01/28/2023 22:54:03 ,,,,English,,,0814202632 : ,8496;(Mills)RLINCMCG5155304-B;(MillsTIND)24301,9780814202630 : ,,,,,,0,,,0,9952163401601401,,,818 C774e ,,
"Book {Book - Physical} By Goldmann, Lucien. (Paris, Editions Anthropos [1970])",,"French literature--20th century.   Creation (Literary, artistic, etc.)   Literature, Modern--20th century--History and criticism. ",Sociologie et connaissance,Structures mentales et creation culturelle.,,08/08/2022 14:14:33 ,01/28/2023 22:44:15 ,,,,French,,,,256051;(Mills)CMCG95-B1159;(MillsTIND)24631,,,,,,,0,,,0,9952163392101401,,,809.04 G619s 1970 ,,
"Book {Book - Physical} By Robert, Marthe. (Paris : B Grasset c1972.)",,Fiction--History and criticism. ,,Roman des origines et origines du roman / Marthe Robert.,,08/08/2022 14:14:32 ,01/28/2023 22:56:06 ,,,,French,,,,256053;(Mills)CMCG95-B1161;(MillsTIND)24638,,,,,,,0,,,0,9952163379301401,,,809.3 R642r 1972 ,,
"Book {Book - Physical} By Chambers, Robert H. (Englewood Cliffs, N.J. : Prentice-Hall, [1977])",,"Warren, Robert Penn,--1905-1989.--All the king&apos;s men. ",Twentieth century interpretations ; Spectrum book.,Twentieth century interpretations of All the king's men : a collection of critical essays / edited by Robert H. Chambers.,,08/08/2022 14:15:41 ,01/28/2023 22:56:06 ,,,,English,,,0130224340 :  and others,8793;(Mills)RLINCMCG5544068-B;(MillsTIND)25180,9780130224347 :  and others,,,,,,0,,,0,9952163361601401,,,813 W292aDc ,,
"Book {Book - Physical} By Mongrédien, Georges, (Paris, Centre national de la recherche scientifique, 1961.)",,Actors--France--Biography--Dictionaries.   Theater--France--History--17th century. ,,Dictionnaire biographique des comediens francais du XVIIe siecle; suivi d'un inventaire des troupes (1590-1710) d'apres des documents inedits.,,08/08/2022 14:15:41 ,01/28/2023 22:51:48 ,,,,French,,,,256243;(Mills)CMCG95-B1344;(MillsTIND)25199,,,,,,,0,,,0,9952163358301401,,,792.0922 M743d 1961 ,,
"Book {Book - Physical} By Atkinson, Brooks, (New York, Association Press [1973])",,Theater--New York (State)--New York--History.   Drama--20th century--History and criticism. ,,"The lively years, 1920-1973 [by] Brooks Atkinson and Albert Hirschfeld.",,08/08/2022 13:45:20 ,01/28/2023 22:32:48 ,,,,English,,,0809618567 ,7680;(Mills)RLINCMCG4382730-B;(MillsTIND)21746,9780809618569 ,,,,,,0,,,0,9952163239701401,,,792.0973 A876L ,,
