Type / Creator / Imprint,,Subject,Series,Title,Relation,Creation Date,Modification Date,Edition,Uniform Title,Medium Type,Language,Open Access,Language Of Cataloging,ISBN,Record number,ISBN (13),ISSN,Collections,Availability,Availability (Network),,Orders,Peer Reviewed,Managed by,Requests,MMS ID,underReview,resultFromNetwork,Local Call Number,Other Classification Number,Handle Identifier
"Book {Book - Physical} By Beebe, Lucius Morris, (Oakland, Calif., G Hardy 1951.)",,"Railroads, Cable.   Street-railroads--California--San Francisco.   San Francisco (Calif.)--Social life and customs. ",,Cable car carnival [by] Lucius Beebe and Charles Clegg. Decorations by E. S. Hammack.,,08/08/2022 20:07:01 ,01/20/2023 17:16:51 ,[1st ed.],,,English,,,,110104;(Mills)ocm05949119;(MillsTIND)132330,,,,"Availability:Physical version at OLIN: olnf1; 917.946 B414c  (1 copy, 1 available)
",,,0,,,0,9952173683901401,,,917.946 B414c ,,
"Book {Book - Physical} By Weston, Otheto, ([Stanford, Calif.] Stanford University Press [1948])",,California--Gold discoveries.   California--Pictorial works. ,,Mother Lode album.,,08/08/2022 20:06:43 ,01/20/2023 17:16:47 ,,,,English,,,,110078;(Mills)ocm03395393;(MillsTIND)132268,,,,"Availability:Physical version at OLIN: olnf1; 917.94 W535m  (1 copy, 1 available)
",,,0,,,0,9952173689601401,,,917.94 W535m ,,
"Book {Book - Physical} By Petersen, Grant. (Berkeley, Calif. : Heyday Books, c1984.)",,Bicycle touring--California--San Francisco Bay Area.   San Francisco Bay Area (Calif.)--Guidebooks. ,,"Roads to ride : a bicyclist's topographic guide to Alameda, Contra Costa and Marin counties / by Grant Petersen with Mary Anderson.",,08/08/2022 14:46:15 ,01/20/2023 17:40:10 ,,,,English,,,093058807X (pbk.) : ,20323;(Mills)RLINCMCG84-B1524;(MillsTIND)60808,9780930588076 (pbk.) : ,,,"Availability:Physical version at OLIN: olnf1; 917.8 P484r  (1 copy, 1 available)
",,,0,,,0,9952166887701401,,,917.8 P484r ,,
"Book {Book - Physical} By Jackson, Helen Hunt, (Boston, Roberts brothers, 1878.)",,California--Description and travel.   New England--Description and travel.   Colorado--Description and travel. ,,Bits of travel at home. By H. H.,,08/08/2022 20:18:01 ,01/20/2023 17:35:02 ,,,,English,,,,115644;(Mills)ocm01963601;(MillsTIND)144415,,,,"Availability:Physical version at OLIN: olnf1; 917.8 J12b  (1 copy, 1 available)
",,,0,,,0,9952174946901401,,,917.8 J12b ,,
"Book {Book - Physical} By Frémont, John Charles, (Urbana, University of Illinois Press [1970-)",,"Frémont, John Charles,--1813-1890.   United States--Discovery and exploration.   West (U.S.)--Description and travel. ",,The expeditions of John Charles Fremont. Edited by Donald Jackson and Mary Lee Spence.,,08/08/2022 15:13:15 ,01/20/2023 17:47:56 ,,,,English,,,0252000862 (v. 1) ,22999;(Mills)RLINCMCG85-B381;(MillsTIND)68431,9780252000867 (v. 1) ,,,"Availability:Physical version at OLIN: olnf1; 917.8 F872e  (1 copy, 0 available)
",,,0,,,0,9952167455501401,,,917.8 F872e ,,
"Book {Book - Physical} text; unmediated; volume By Bartlett, Richard A. (London ; New York : Oxford University Press, 1976.)",,Frontier and pioneer life--United States.   Economic history.   Frontier and pioneer life.  and others,Galaxy book.,"The new country : a social history of the American frontier, 1776-1890 / Richard A. Bartlett.",,08/08/2022 14:48:39 ,01/20/2023 17:47:27 ,,,,English,,English,0195020219  and others,(OCoLC)5020345;(Mills)ocm05020345;(MillsTIND)64206,9780195020212  and others,,,"Availability:Physical version at OLIN: olnf1; 917.8 B291n  (1 copy, 1 available)
",,,0,,,0,9952167325101401,,,917.8 B291n ,,
"Book {Book - Physical} By Ward, Adolphus William, (New York and London, GP Putnam's sons, 1907-1933.)",,English literature--History and criticism.   English literature--Bibliography. ,,"The Cambridge history of English literature, ed. by A. W. Ward and A. R. Waller.",,08/08/2022 16:50:21 ,01/20/2023 17:03:13 ,,,,English,,,,96938;(Mills)RLINCMCG89-B4711;(MillsTIND)103150,,,,"Availability:Physical version at OLIN: olnf1; 820.9 C178  (9 copies, 9 available)
",,,0,,,0,9952173211101401,,,820.9 C178 ,,
"Book {Book - Physical} text; unmediated; volume By Pulley, Anna, (New York : Flatiron Books, 2016.)",,Lesbians--Humor.   Lesbians--Poetry.   American wit and humor.  and others,,The lesbian sex haiku book (with cats!) / Anna Pulley ; illustrations by Kelsey Beyer.,,08/09/2022 08:40:23 ,01/20/2023 16:33:29 ,,,,English,,English,9781250072641  and others,(OCoLC)907965832;(Mills)ocn907965832;(MillsTIND)201439,9781250072641  and others,,,"Availability:Physical version at OLIN: olnf1; 818.6 P9823L 2016  (1 copy, 1 available)
",,,0,,,0,9952180336701401,,,818.6 P9823L 2016 ,,
"Book {Book - Physical} text; unmediated; volume By Dugger, Mary. (New York : Doubleday, 1996.)",,Lesbians--Humor.   Lesbians.   Humor. ,,The history of lesbian hair : and other tales of bent life in a straight world / Mary Dugger.,,08/09/2022 08:40:08 ,01/20/2023 16:36:04 ,1st ed.,,,English,,English,0385480377  and others,(OCoLC)34515061;(Mills)ocm34515061;(MillsTIND)200925,9780385480376  and others,,,"Availability:Physical version at OLIN: olnf1; 818.5409 D8669 1996  (1 copy, 1 available)
",,,0,,,0,9952180208101401,,,818.5409 D8669 1996 ,,
"Book {Book - Physical} By Bernstein, Charles, (Chicago : University of Chicago Press, 1999.)",,"Bernstein, Charles,--1950---Aesthetics.   Poetics. ",,My way : speeches and poems / Charles Bernstein.,,08/08/2022 16:12:35 ,01/20/2023 15:56:18 ,,,,English,,,0226044092 (alk. paper)  and others,285259;(Mills)ocm39505557;(MillsTIND)111478,9780226044095 (alk. paper)  and others,,,"Availability:Physical version at OLIN: olnf1; 818.5408 B531m 1999  (1 copy, 1 available)
",,,0,,,0,9952169676301401,,,818.5408 B531m 1999 ,,
"Book {Book - Physical} By Junker, Howard. (San Francisco, CA : HarperCollinsWest, c1995.)",,Notebooks--United States.   Authorship. ,,The Writer's notebook / edited by Howard Junker.,,08/08/2022 14:26:04 ,01/20/2023 17:14:08 ,1st ed.,,,English,,,0062586181 (pbk. : alk. paper) : ,261490;(Mills)ocm31607754;(MillsTIND)41725,9780062586186 (pbk. : alk. paper) : ,,,"Availability:Physical version at OLIN: olnf1; 818.54 J95w 1995  (1 copy, 1 available)
",,,0,,,0,9952165129201401,,,818.54 J95w 1995 ,,
"Book {Book - Physical} By Anzaldúa, Gloria. (Durham : Duke University Press, 2009.)",,"Authors, American--20th century.   Mexican American women authors--20th century.   Mexican American lesbians.  and others",Latin America otherwise.,"The Gloria Anzaldúa reader / Gloria E. Anzaldúa ; AnaLouise Keating, editor.",,08/08/2022 21:36:00 ,01/20/2023 16:17:42 ,,,,English,,,9780822345558 (cloth : alk. paper)  and others,(OCoLC)319500661;(Mills)ocn319500661;(MillsTIND)186445,9780822345558 (cloth : alk. paper)  and others,,,"Availability:Physical version at OLIN: olnf1; 818.54 A637g 2009  (1 copy, 1 available)
",,,0,,,0,9952179219801401,,,818.54 A637g 2009 ,,
"Book {Book - Physical} By Anzaldúa, Gloria. (San Francisco : Aunt Lute Books, c1999.)",,Mexican American women--Poetry.   Mexican-American Border Region--Poetry.   Mexican-American Border Region--Civilization. ,,Borderlands = La frontera / Gloria Anzaldúa ; with an introduction by Sonia Saldívar-Hull.,,08/08/2022 16:50:54 ,01/20/2023 17:04:23 ,2nd ed.,,,English,,,1879960575 (cloth)  and others,(Mills)ocm40901229;(MillsTIND)104400,9781879960572 (cloth)  and others,,,"Availability:Physical version at OLIN: olnf1; 818.54 A637b 1999  (1 copy, 0 available)
",,,0,,,0,9952173336201401,,,818.54 A637b 1999 ,,
"Book {Book - Physical} By Hurston, Zora Neale. (Old Westbury, N.Y. : The Feminist Press, c1979.)",,African Americans--Literary collections.   Olin Library Black authors. ,,I love myself when I am laughing-- and then again when I am looking mean and impressive : a Zora Neale Hurston reader / edited by Alice Walker ; introd. by Mary Helen Washington.,,08/08/2022 13:37:43 ,01/20/2023 18:10:43 ,,,,English,,,0912670568  and others,(OCoLC)5219383;(Mills)ocm05219383;(MillsTIND)9991,9780912670560  and others,,,"Availability:Physical version at OLIN: olnf1; 818.52 H966i 1979  (1 copy, 1 available)
",,,0,,,0,9952162085801401,,,818.52 H966i 1979 ,,
"Book {Book - Physical} By De Voto, Bernard Augustine, (Boston : Little, Brown, and Company, 1932.)",,"Twain, Mark,--1835-1910. ",,Mark Twain's America / by Bernard DeVoto; illustrated by M.J. Gallagher.,,08/08/2022 15:15:24 ,01/20/2023 17:55:13 ,,,,English,,,,24282;(Mills)RLINCMCG85-B1691;(MillsTIND)72387,,,,"Availability:Physical version at OLIN: olnf1; 817 T969Xde  (1 copy, 1 available)
",,,0,,,0,9952168013101401,,,817 T969Xde ,,
"Book {Book - Physical} By Crews, Frederick C. (New York, Dutton, 1963.)",,"Milne, A. A.--(Alan Alexander),--1882-1956.--Winnie-the-Pooh.   Criticism--Humor. ",,"The Pooh perplex, a freshman casebook.",,08/08/2022 14:47:54 ,01/20/2023 17:40:07 ,[1st ed.],,,English,,,,83098;(Mills)ocm00254378;(MillsTIND)63196,,,,"Availability:Physical version at OLIN: olnf1; 817 C927p  (1 copy, 1 available)
",,,0,,,0,9952166960901401,,,817 C927p ,,
"Book {Book - Physical} By Allen, Woody. (New York : Random House, c1980.)",,,,Side effects / by Woody Allen.,,08/08/2022 14:22:18 ,01/20/2023 16:59:31 ,lst ed.,,,English,,,0394511042 : ,11817;(Mills)RLINCMCG82-B202;(MillsTIND)34937,9780394511047 : ,,,"Availability:Physical version at OLIN: olnf1; 817 A432s  (1 copy, 1 available)
",,,0,,,0,9952164528001401,,,817 A432s ,,
"Book {Book - Physical} By Emerson, Ralph Waldo, (New York, The Modern Library [c1940])",,,Modern library of the world's best books.,"The complete essays and other writings of Ralph Waldo Emerson, edited with a biographical introduction by Brooks Atkinson.",,08/08/2022 14:46:57 ,01/20/2023 17:40:28 ,,,,English,,,,82530;(Mills)ocm01510538;(MillsTIND)61699,,,,"Availability:Physical version at OLIN: olnf1; 814 E53Aa  (1 copy, 1 available)
",,,0,,,0,9952167024501401,,,814 E53Aa ,,
"Book {Book - Physical} By Raymond, George Lansing, (New York, London, GP Putnam's sons, 1908.)",,"Columbus, Christopher--Drama.   Aztecs--Drama. ",,"The Aztec god, and other dramas, by George Lansing Raymond.",,08/08/2022 14:47:35 ,01/20/2023 17:46:16 ,"3d ed., abridged,",,,English,,,,82822;(Mills)ocm01710049;(MillsTIND)62407,,,,"Availability:Physical version at OLIN: olnf1; 812 R269a  (1 copy, 0 available)
",,,0,,,0,9952167091401401,,,812 R269a ,,
"Book {Book - Physical} By Mumford, Lewis, (New York, Boni and Liveright, 1926.)",,American literature--19th century--History and criticism.   United States--Civilization.   United States--Intellectual life.  and others,,The golden day; a study in American experience and culture [by] Lewis Mumford.,,08/08/2022 15:15:40 ,01/20/2023 18:02:34 ,,,,English,,,,86161;(Mills)ocm03765835;(MillsTIND)72434,,,,"Availability:Physical version at OLIN: olnf1; 810.9 M962g  (1 copy, 1 available)
",,,0,,,0,9952168141901401,,,810.9 M962g ,,
"Book {Book - Physical} By Franklin, H. Bruce (New York : Oxford University Press, 1978.)",,"American literature--History and criticism.   Prisoners&apos; writings, American--History and criticism.   American literature--African American authors--History and criticism.  and others",,The victim as criminal and artist : literature from the American prison / H. Bruce Franklin.,,08/08/2022 15:12:19 ,01/20/2023 17:53:44 ,,,,English,,,0195022440 : ,22576;(Mills)RLINCMCG8484562-B;(MillsTIND)67158,9780195022445 : ,,,"Availability:Physical version at OLIN: olnf1; 810.9 F832v  (1 copy, 1 available)
",,,0,,,0,9952167631701401,,,810.9 F832v ,,
"Journal {Other Serial (Ceased publication) - Physical} By Nathan, George Jean, (New York : Alfred A Knopf, 1943-)",,Theater--Periodicals.   Theater--United States--Periodicals. ,,The Theatre book of the year : a record and an interpretation / by George Jean Nathan.,,08/08/2022 20:16:45 ,01/20/2023 17:33:23 ,,,,English,,,,115107;(Mills)ocm01779322;(MillsTIND)143258,,,,"Availability:Physical version at OLIN: olnf1; 792 T374n  (1 copy, 1 available)
",,,0,,,0,9952174594901401,,,792 T374n ,,
"Book {Book - Physical} By Dahl, Robert Alan, (New Haven, Yale University Press, 1970.)",,Democracy.   United States--Social conditions--1960-1980.   United States--Politics and government--1945-1989. ,Yale fastback ; 9.,"After the revolution; authority in a good society, by Robert A. Dahl.",,08/08/2022 20:55:59 ,01/20/2023 17:42:45 ,,,,English,,,300014473(pbk.) ,56140;(Mills)ocm00106432;(MillsTIND)149035,300014473(pbk.) ,,,"Availability:Physical version at OLIN: olnf1; 309.173 D131a  (1 copy, 1 available)
",,,0,,,0,9952175456701401,,,309.173 D131a ,,
"Book {Book - Physical} By Lewis, Oscar, (New York, Random House [1961])",,Families--Mexico--Case studies.   Poor--Mexico--Mexico City.   Mexico--Social conditions. ,,"The children of Sanchez, autobiography of a Mexican family.",,08/08/2022 20:56:00 ,01/20/2023 17:48:36 ,,,,English,,,,56078;(Mills)ocm00964894;(MillsTIND)148943,,,,"Availability:Physical version at OLIN: olnf1; 309.172 L675c  (1 copy, 1 available)
",,,0,,,0,9952175584001401,,,309.172 L675c ,,
"Book {Book - Physical} By Beals, Alan R. (New York, Holt, Rinehart and Winston [1962])",,Villages--India--Case studies.   Gopālpur (India)--Social conditions. ,Case studies in cultural anthropology,Gopalpur; a south Indian village.,,08/08/2022 20:56:57 ,01/20/2023 17:49:07 ,,,,English,,,,55751;(Mills)ocm00173759;(MillsTIND)148465,,,,"Availability:Physical version at OLIN: olnf1; 309.154 B366g  (2 copies, 2 available)
",,,0,,,0,9952175717501401,,,309.154 B366g ,,
"Book {Book - Physical} By Anderson, Robert Thomas, (Belmont, Calif., Wadsworth Pub Co [1971])",,Social classes--Europe--History. ,,Traditional Europe; a study in anthropology and history [by] Robert T. Anderson.,,08/08/2022 20:58:33 ,01/20/2023 17:49:53 ,,,,English,,,,58788;(Mills)ocm00124807;(MillsTIND)153331,,,,"Availability:Physical version at OLIN: olnf1; 309.14 A549t 1971  (2 copies, 2 available)
",,,0,,,0,9952175875101401,,,309.14 A549t 1971 ,,
Visual material {3D artifact - Physical} three-dimensional form; unmediated; object (China : AmazonBasics),,Cables.   USB (Computer bus)--Equipment and supplies.   Cell phones--Equipment and supplies.  and others,,USB type A to USB type C cable.,,08/09/2022 09:14:22 ,01/20/2023 16:56:24 ,,,,English,,English,,(Mills)on1039079398;(OCoLC)1039079398;(MillsTIND)208816,,,,"Availability:Physical version at OLIN: olcirc; circ desk  (7 copies, 7 available)
",,,0,,,0,9952181712001401,,,circ desk ,,
"Book {Book - Physical} By Reid, Alfred S. (Gainesville, University of Florida Press, 1955.)",,"Hawthorne, Nathaniel,--1804-1864.--Scarlet letter. ",,The yellow ruff & The Scarlet letter; a source of Hawthorne's novel.,,08/08/2022 14:46:04 ,01/28/2023 22:49:32 ,,,,English,,,,82164;(Mills)ocm01719532;(MillsTIND)60751,,,,,,,0,,,0,9952166918301401,,,813 H399sDr ,,
"Book {Book - Physical} By Clarke, Helen Archibald, (New York, Baker and Taylor Co, 1910.)",,"Hawthorne, Nathaniel,--1804-1864.   New England--Description and travel. ",,Hawthorne's country.,,08/08/2022 14:46:04 ,01/28/2023 22:49:31 ,,,,English,,,,82165;(Mills)ocm00756317;(MillsTIND)60754,,,,,,,0,,,0,9952166918001401,,,813 H399Xc1 ,,
"Book {Book - Physical} By Doubleday, Neal Frank. (Durham, N.C., Duke University Press, 1972.)",,"Hawthorne, Nathaniel,--1804-1864. ",,Hawthorne's early tales; a critical study.,,08/08/2022 14:46:04 ,01/28/2023 22:36:32 ,,,,English,,,0822302675 ,82168;(Mills)ocm00334374;(MillsTIND)60759,9780822302674 ,,,,,,0,,,0,9952166917601401,,,813 H399Xdo ,,
"Book {Book - Physical} By Lundblad, Jane. (Upsala, Cambridge,Mass., A-b Lundequistska Bokhandeln [1946])",,"Hawthorne, Nathaniel,--1804-1864.   Romanticism. ",,Nathaniel Hawthorne and the tradition of Gothic romance.,,08/08/2022 14:46:04 ,01/28/2023 22:54:03 ,,,,English,,,,82170;(Mills)ocm02932940;(MillsTIND)60763,,,,,,,0,,,0,9952166917201401,,,813 H399XLu ,,
"Book {Book - Physical} By Male, Roy R. (New York, Norton [1964, c1957])",,"Hawthorne, Nathaniel,--1804-1864. ",Norton library ; N258.,"Hawthorne's tragic vision, by Roy R. Male.",,08/08/2022 14:46:04 ,01/28/2023 22:47:05 ,,,,English,,,,82171;(Mills)ocm00244847;(MillsTIND)60765,,,,,,,0,,,0,9952166917001401,,,813 H399Xm ,,
"Book {Book - Physical} By Selden, Samuel, (Chapel Hill, University of North Carolina Press [1949])",,"Folk drama, American. ",Carolina Playmakers series.,International folk plays.,,08/08/2022 14:46:05 ,01/28/2023 22:39:09 ,,,,English,,,,82098;(Mills)ocm01300203;(MillsTIND)60619,,,,,,,0,,,0,9952166915801401,,,812.08 S464i ,,
