Title,Type / Creator / Imprint,Barcode,Inventory Number,Receiving Number,Library,Library Unit,Temporary Library,Creation Date,Modification Date,Process type,To Library,Expected Arrival Time,At Library,At,On Hold Expiration Date,Due Date,Needed By,Until,Permanent Location,Temporary Location,Call Number,Call Number Type,Accession Number,Temporary Call Number,Temporary Call Number Type,Item call number,Item call number type,Status,RFID Security Status,Due back,Item Policy,Temporary Item Policy,Material Type,Copy ID,Description,Orders,Requests,Peer Reviewed,Item ID,Holdings ID,MMS ID
The dungeon of the heart; human isolation and the American novel [by] Edwin T. Bowden.,"Book By Bowden, Edwin T. (New York, Macmillan, 1961.)",33086000950113,,,F.W. Olin Library,,,08/08/2022 14:46:52 ,08/08/2022 14:46:52 ,,,,,,,,,,Non-Fiction,,813.09 B784d,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402462780001401,22402462820001401,9952166855001401
"Nathaniel Hawthorne, by George E. Woodberry.","Book By Woodberry, George Edward, (Boston, and New York, Houghton, Mifflin and Co, 1902.)",33086000949065,,,F.W. Olin Library,,,08/08/2022 14:46:50 ,08/08/2022 14:46:50 ,,,,,,,,,,Non-Fiction,,813 H399Xwo,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402463770001401,22402463980001401,9952166890101401
"Henry James, man and author, by Pelham Edgar.","Book By Edgar, Pelham, (Boston New York, Houghton Mifflin company, 1927.)",33086000949321,,,F.W. Olin Library,,,08/08/2022 14:46:49 ,08/08/2022 14:46:49 ,,,,,,,,,,Non-Fiction,,813 J27Xe,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402464340001401,22402464370001401,9952166768501401
"The issue at hand; studies in contemporary magazine science fiction, by William Atheling, Jr.  Edited, and with an introd., by James Blish.","Book By Blish, James. (Chicago, Advent Publishers, 1964.)",33086000950097,,,F.W. Olin Library,,,08/08/2022 14:46:49 ,08/08/2022 14:46:49 ,,,,,,,,,,Non-Fiction,,813.09 B649i,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402464430001401,22402464490001401,9952166855501401
"Monte Cristo, by Charles Fechter, as played by James O'Neill, & other plays by Julia Ward Howe, George C. Hazelton, Langdon Mitchell [and] William C. De Mille. Edited by J.B. Russak.","Book By Russak, J. B. (Princeton, N.J., Princeton University Press, 1941.)",33086000948240,,,F.W. Olin Library,,,08/08/2022 14:46:49 ,08/08/2022 14:46:49 ,,,,,,,,,,Non-Fiction,,812.08 R958m,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402464460001401,22402464530001401,9952166890801401
"Novelists' America; fiction as history, 1910-1940.","Book By Blake, Nelson Manfred, (Syracuse, N.Y.] Syracuse University Press [1969])",33086000950089,,,F.W. Olin Library,,,08/08/2022 14:46:48 ,08/08/2022 14:46:48 ,,,,,,,,,,Non-Fiction,,813.09 B636n,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402464860001401,22402464900001401,9952166855701401
The stature of Theodore Dreiser; a critical survey of the man and his work. Edited by Alfred Kazin and Charles Shapiro; with an introd by Alfred Kazin.,"Book By Kazin, Alfred, (Bloomington, Indiana University Press [1955])",33086000948687,,,F.W. Olin Library,,,08/08/2022 14:46:47 ,08/08/2022 14:46:47 ,,,,,,,,,,Non-Fiction,,813 D771Xk,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402465140001401,22402465300001401,9952166903501401
The novels of Henry James.,"Book By Cargill, Oscar, (New York, Hafner Pub Co, 1971 [c1961])",33086000949305,,,F.W. Olin Library,,,08/08/2022 14:46:46 ,08/08/2022 14:46:46 ,,,,,,,,,,Non-Fiction,,813 J27Xbz,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402465750001401,22402465780001401,9952166769001401
"Metamora & other plays, by John Augustus Stone [and others] ... Edited by Eugene R. Page.","Book By Page, Eugene Richard, (Princeton, N.J., Princeton University Press, 1941.)",33086000948208,,,F.W. Olin Library,,,08/08/2022 14:46:46 ,08/08/2022 14:46:46 ,,,,,,,,,,Non-Fiction,,812.08 P132m,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402465880001401,22402465940001401,9952166891601401
"The American novel to-day; a social and psychological study, by Regis Michaud.","Book By Michaud, Régis, (Boston, Little, Brown, and Company, 1928.)",33086000950345,,,F.W. Olin Library,,,08/08/2022 14:47:12 ,08/08/2022 14:47:12 ,,,,,,,,,,Non-Fiction,,813.09 M622ra,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402466150001401,22402466210001401,9952166857201401
"Men and letters; essays in characterization and criticism, by Horace E. Scudder.","Book By Scudder, Horace Elisha, (Boston and New York, Houghton, Mifflin and company, 1887.)",33086000955849,,,F.W. Olin Library,,,08/08/2022 14:47:11 ,08/08/2022 14:47:11 ,,,,,,,,,,Non-Fiction,,814 S436m,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402466360001401,22402466400001401,9952167016601401
"Transatlantic migration; the contemporary American novel in France, by Thelma M. Smith and Ward L. Miner.","Book By Smith, Thelma M. ([Durham, N.C.] Duke University Press, 1955.)",33086000950410,,,F.W. Olin Library,,,08/08/2022 14:47:09 ,08/08/2022 14:47:09 ,,,,,,,,,,Non-Fiction,,813.09 S662t,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402467510001401,22402467590001401,9952166877301401
Twelve original essays on great American novels.,"Book By Shapiro, Charles. (Detroit, Wayne State University Press, 1958.)",33086000950402,,,F.W. Olin Library,,,08/08/2022 14:47:06 ,08/08/2022 14:47:06 ,,,,,,,,,,Non-Fiction,,813.09 S529t,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402468900001401,22402468950001401,9952166877901401
"Harold Frederic, by Thomas F. O'Donnell and Hoyt C. Franchere.","Book By O'Donnell, Thomas Francis, (New York, Twayne Publishers [1961])",33086000948893,,,F.W. Olin Library,,,08/08/2022 14:47:00 ,08/08/2022 14:47:00 ,,,,,,,,,,Non-Fiction,,813 F852Xo,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402470940001401,22402471030001401,9952166918801401
"The American historical novel, by Ernest E. Leisy.","Book By Leisy, Ernest Erwin, (Norman, University of Oklahoma Press [c1950])",33086000950303,,,F.W. Olin Library,,,08/08/2022 14:46:58 ,08/08/2022 14:46:58 ,,,,,,,,,,Non-Fiction,,813.09 L532a,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402471420001401,22402471440001401,9952166858801401
After the lost generation; a critical study of the writers of two wars.,"Book By Aldridge, John W. (New York, McGraw-Hill [1951])",33086000950055,,,F.W. Olin Library,,,08/08/2022 14:46:56 ,08/08/2022 14:46:56 ,,,,,,,,,,Non-Fiction,,813.09 A365a,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402472100001401,22402472130001401,9952166778301401
The collected essays of John Peale Bishop; ed. with an introd. by Edmund Wilson.,"Book By Bishop, John Peale, (New York, C Scribner's Sons, 1948.)",33086000951921,,,F.W. Olin Library,,,08/08/2022 14:46:54 ,08/08/2022 14:46:54 ,,,,,,,,,,Non-Fiction,,814 B622Aw,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402472760001401,22402472790001401,9952167044401401
"Eleven verse plays [by] Maxwell Anderson, 1929-1939.","Book By Anderson, Maxwell, ([New York] Harcourt, Brace and company [1940])",33086000947432,,,F.W. Olin Library,,,08/08/2022 14:46:54 ,08/08/2022 14:46:54 ,,,,,,,,,,Non-Fiction,,812 A548A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402472850001401,22402472910001401,9952166774101401
Who's who in Faulkner [by] Margaret Patricia Ford [and] Suzanne Kincaid.,"Book By Ford, Margaret Patricia, ([Baton Rouge] Louisiana State University Press [1963])",33086001104306,,,F.W. Olin Library,,,08/08/2022 14:46:53 ,08/08/2022 14:46:53 ,,,,,,,,,,Non-Fiction,,813.52 F263Yf 1963,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402473030001401,22402473120001401,9952166919401401
"The foreground of American fiction, by Harry Hartwick.","Book By Hartwick, Harry. (New York, Cincinnati [etc.] American Book Co [c1934])",33086000950253,,,F.W. Olin Library,,,08/08/2022 14:46:52 ,08/08/2022 14:46:52 ,,,,,,,,,,Non-Fiction,,813.09 H337f,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,2,[copy 2],0,0,,23402473540001401,22402473630001401,9952166861801401
The fine hammered steel of Herman Melville; with a checklist of Melville studies.,"Book By Stern, Milton R. (Urbana, University of Illinois Press, 1957.)",33086000949677,,,F.W. Olin Library,,,08/08/2022 14:46:50 ,08/08/2022 14:46:50 ,,,,,,,,,,Non-Fiction,,813.3 M531Xst 1957,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402475440001401,22402475580001401,9952166905801401
"The glory that was Grub Street; impressions of contemporary authors, by St. John Adcock; With thirty-two camera studies by E. O. Hoppe.","Book By Adcock, Arthur St. John, (New York, Stokes [1928])",33086000957035,,,F.W. Olin Library,,,08/08/2022 14:47:17 ,08/08/2022 14:47:17 ,,,,,,,,,,Non-Fiction,,820.4 A221g,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402476400001401,22402476520001401,9952167136101401
"The cross-stitch heart, and other plays ... by Rachel Field ...","Book By Field, Rachel, (New York, C Scribner's Sons, 1927.)",33086000953042,,,F.W. Olin Library,,,08/08/2022 14:47:15 ,08/08/2022 14:47:15 ,,,,,,,,,,Non-Fiction,,812 F455c,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402478320001401,22402478400001401,9952167023801401
"The New Century handbook of English literature, edited by Clarence L. Barnhart, with the assistance of William D. Halsey.","Book By Barnhart, Clarence Lewis, (New York, Appleton-Century-Crofts [c1956])",33086000957027,,,F.W. Olin Library,,,08/08/2022 14:47:13 ,08/08/2022 14:47:13 ,,,,,,,,,,Non-Fiction,,820.3 N532,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402479380001401,22402479470001401,9952167136501401
Emerson's Plutarch.,"Book By Berry, Edmund Grindlay, (Cambridge, Harvard University Press, 1961.)",33086000953828,,,F.W. Olin Library,,,08/08/2022 14:47:12 ,08/08/2022 14:47:12 ,,,,,,,,,,Non-Fiction,,814 E53Xbe,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402479870001401,22402480010001401,9952167138101401
The Oxford companion to English literature.,"Book By Harvey, Paul, (Oxford, Clarendon Press, 1946.)",33086000957019,,,F.W. Olin Library,,,08/08/2022 14:47:12 ,08/08/2022 14:47:12 ,,,,,,,,,,Non-Fiction,,820.3 O983e 1946,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402480320001401,22402480390001401,9952167136801401
"The complete essays and other writings of Ralph Waldo Emerson, edited with a biographical introduction by Brooks Atkinson.","Book By Emerson, Ralph Waldo, (New York, The Modern Library [c1940])",33086000952804,,,F.W. Olin Library,,,08/08/2022 14:47:10 ,08/08/2022 14:47:10 ,,,,,,,,,,Non-Fiction,,814 E53Aa,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,c.13,0,0,,23402481530001401,22402481790001401,9952167024501401
"America in contemporary fiction, by Percy H. Boynton.","Book By Boynton, Percy Holmes, (Chicago, Ill., University of Chicago press [c1940])",33086000950121,,,F.W. Olin Library,,,08/08/2022 14:47:07 ,08/08/2022 14:47:07 ,,,,,,,,,,Non-Fiction,,813.09 B792a,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402482860001401,22402482880001401,9952166854701401
"Six plays by Kaufman and Hart, with an introduction by Brooks Atkinson ...","Book By Kaufman, George S. (New York, The Modern Library [c1942])",33086000953760,,,F.W. Olin Library,,,08/08/2022 14:47:07 ,08/08/2022 14:47:07 ,,,,,,,,,,Non-Fiction,,812.52 K21s 1942,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402482960001401,22402483020001401,9952167139001401
American thought: Civil War to World War I.,"Book By Miller, Perry, (New York, Rinehart [1954])",33086000954677,,,F.W. Olin Library,,,08/08/2022 14:47:35 ,08/08/2022 14:47:35 ,,,,,,,,,,Non-Fiction,,814 M649a,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402486980001401,22402487000001401,9952167101301401
Sunrise at Campobello; a play in three acts.,"Book By Schary, Dore. (New York, Random House [1958])",33086000956334,,,F.W. Olin Library,,,08/08/2022 14:47:33 ,08/08/2022 14:47:33 ,,,,,,,,,,Non-Fiction,,812 S311s,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402487770001401,22402487830001401,9952167125301401
"Essays on books, by William Lyon Phelps ...","Book By Phelps, William Lyon, (New York, The Macmillan Company, 1914.)",33086000955492,,,F.W. Olin Library,,,08/08/2022 14:47:31 ,08/08/2022 14:47:31 ,,,,,,,,,,Non-Fiction,,814 P541e,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402488440001401,22402488500001401,9952167119701401
"Philosophy of English literature, a course of lectures delivered in the Lowell Institute.","Book By Bascom, John, (New York, G P Putnam, 1874.)",33086000956946,,,F.W. Olin Library,,,08/08/2022 14:47:29 ,08/08/2022 14:47:29 ,,,,,,,,,,Non-Fiction,,820.1 B298p,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402489460001401,22402489650001401,9952167012501401
Study out the land; essays by T.K. Whipple.,"Book By Whipple, T. K. (Berkeley, Los Angeles, University of Californis Press, 1943.)",33086000956300,,,F.W. Olin Library,,,08/08/2022 14:47:24 ,08/08/2022 14:47:24 ,,,,,,,,,,Non-Fiction,,814 W575s,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402491440001401,22402491570001401,9952167126301401
"We, the people, a play in twenty scenes.","Book By Rice, Elmer, (New York, Coward-McCann, Inc [c1933])",33086000956292,,,F.W. Olin Library,,,08/08/2022 14:47:21 ,08/08/2022 14:47:21 ,,,,,,,,,,Non-Fiction,,812 R4954w,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402492600001401,22402492710001401,9952167126601401
"Opinions, by Claude Washburn.","Book By Washburn, Claude C. (New York, E P Dutton and company [1926])",33086000956284,,,F.W. Olin Library,,,08/08/2022 14:47:20 ,08/08/2022 14:47:20 ,,,,,,,,,,Non-Fiction,,814 W314o,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402493130001401,22402493160001401,9952167126801401
"Behind the magic curtain, eight folk scenes originally presented by the junior players of the Neighborhood Playhouse for the National Theatre Conference.","Book By National Theatre Conference. (New York, Theatre Arts, inc [c1934])",33086000956888,,,F.W. Olin Library,,,08/08/2022 14:47:19 ,08/08/2022 14:47:19 ,,,,,,,,,,Non-Fiction,,812.08 B419n,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402493580001401,22402493630001401,9952167014301401
"Futz, and what came after. With an introd. by Jerome Rothenberg.","Book By Owens, Rochelle. (New York, Random House [1968])",33086000955815,,,F.W. Olin Library,,,08/08/2022 14:47:19 ,08/08/2022 14:47:19 ,,,,,,,,,,Non-Fiction,,812 O97f,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402493740001401,22402494000001401,9952167017401401
"Street scene, a play in three acts, by Elmer L. Rice.","Book By Rice, Elmer, (New York, Los Angeles, London, S French 1929.)",33086000956276,,,F.W. Olin Library,,,08/08/2022 14:47:18 ,08/08/2022 14:47:18 ,,,,,,,,,,Non-Fiction,,812 R4954s,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402494600001401,22402494640001401,9952167127201401
"The genius of America; studies in behalf of the younger generation, by Stuart P. Sherman ...","Book By Sherman, Stuart Pratt, (New York, London, C Scribner's sons, 1923.)",33086000955864,,,F.W. Olin Library,,,08/08/2022 14:47:15 ,08/08/2022 14:47:15 ,,,,,,,,,,Non-Fiction,,814 S553g,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,2,[copy 2],0,0,,23402495510001401,22402495530001401,9952167016301401
The plays of Eugene O'Neill. With a pref. by Harry T. Moore.,"Book By Raleigh, John Henry, (Carbondale, Southern Illinois University Press [1965])",33086000955799,,,F.W. Olin Library,,,08/08/2022 14:47:13 ,08/08/2022 14:47:13 ,,,,,,,,,,Non-Fiction,,812 O58Xr,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402495940001401,22402495980001401,9952167017901401
Fiction of the forties.,"Book By Eisinger, Chester E. (Chicago, University of Chicago Press [1963])",33086000950204,,,F.W. Olin Library,,,08/08/2022 14:47:34 ,08/08/2022 14:47:34 ,,,,,,,,,,Non-Fiction,,813.09 E36f,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402496260001401,22402496370001401,9952167052001401
Marlowe. A drama in five acts. By Josephine Preston Peabody.,"Book By Peabody, Josephine Preston, (Boston, Houghton, Mifflin, 1901.)",33086000955948,,,F.W. Olin Library,,,08/08/2022 14:47:32 ,08/08/2022 14:47:32 ,,,,,,,,,,Non-Fiction,,812 P352m,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402496810001401,22402496870001401,9952167120001401
"Sappho and Phaon; a tragedy, set forth with a prologue, induction, prelude, interludes, and epilogue, by Percy MacKaye.","Book By MacKaye, Percy, (New York, London, The Macmillan company 1907.)",33086000954271,,,F.W. Olin Library,,,08/08/2022 14:47:29 ,08/08/2022 14:47:29 ,,,,,,,,,,Non-Fiction,,812 M1532sa,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402498630001401,22402498720001401,9952167034201401
The collected plays of Josephine Preston Peabody (Mrs. Lionel S. Marks) with a foreword by George P. Baker.,"Book By Peabody, Josephine Preston, (Boston, Houghton, Mifflin, 1927.)",33086000955906,,,F.W. Olin Library,,,08/08/2022 14:47:28 ,08/08/2022 14:47:28 ,,,,,,,,,,Non-Fiction,,812 P352A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402499210001401,22402499260001401,9952167121801401
The eccentric design; form in the classic American novel.,"Book By Bewley, Marius. (New York, Columbia University Press, 1959.)",33086000950071,,,F.W. Olin Library,,,08/08/2022 14:47:28 ,08/08/2022 14:47:28 ,,,,,,,,,,Non-Fiction,,813.09 B572e,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402499310001401,22402499380001401,9952166856101401
"Points of view, by Stuart P. Sherman.","Book By Sherman, Stuart Pratt, (New York, London, C Scribner's sons, 1924.)",33086000955898,,,F.W. Olin Library,,,08/08/2022 14:47:28 ,08/08/2022 14:47:28 ,,,,,,,,,,Non-Fiction,,814 S553p,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402499390001401,22402499440001401,9952167122101401
"Homicide in American fiction, 1798-1860; a study in social values.","Book By Davis, David Brion. (Ithaca, N.Y., Cornell University Press [1957])",33086000950196,,,F.W. Olin Library,,,08/08/2022 14:47:27 ,08/08/2022 14:47:27 ,,,,,,,,,,Non-Fiction,,813.09 D261h,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402499770001401,22402499890001401,9952167052301401
"Philosophical incursions into English literature, by John Laird.","Book By Laird, John, (Cambridge [Eng.] The University press, 1946.)",33086000957316,,,F.W. Olin Library,,,08/08/2022 14:47:26 ,08/08/2022 14:47:26 ,,,,,,,,,,Non-Fiction,,820.4 L188p,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402500710001401,22402500820001401,9952167009701401
"My dear Cornelia, by Stuart P. Sherman.","Book By Sherman, Stuart Pratt, (Boston, The Atlantic monthly press [c1924])",33086000955880,,,F.W. Olin Library,,,08/08/2022 14:47:26 ,08/08/2022 14:47:26 ,,,,,,,,,,Non-Fiction,,814 S553my,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402500790001401,22402500900001401,9952167122401401
The main stream / by Stuart Sherman.,"Book By Sherman, Stuart Pratt, (New York : C Scribner's sons, 1927 1927)",33086000955872,,,F.W. Olin Library,,,08/08/2022 14:47:25 ,08/08/2022 14:47:25 ,,,,,,,,,,Non-Fiction,,814 S553m,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402501170001401,22402501180001401,9952167122501401
"Dawn, with The noble lord, The traitor, A house of cards, Playing with fire, The finger of God; one-act plays of life to-day, by Percival Wilde.","Book By Wilde, Percival, (New York, H Holt, 1915.)",33086000956680,,,F.W. Olin Library,,,08/08/2022 14:47:25 ,08/08/2022 14:47:25 ,,,,,,,,,,Non-Fiction,,812 W672d,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402501330001401,22402501400001401,9952167111701401
"Children of earth; A play of New England, by Alice Brown.","Book By Brown, Alice, (New York, The Macmillan company, 1915.)",33086000952192,,,F.W. Olin Library,,,08/08/2022 14:47:25 ,08/08/2022 14:47:25 ,,,,,,,,,,Non-Fiction,,812 B877c,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402501670001401,22402501760001401,9952167143201401
"Reconsiderations, literary essays, by E. E. Kellett.","Book By Kellett, E. E. (Cambridge [Eng.] The University press, 1928.)",33086000957290,,,F.W. Olin Library,,,08/08/2022 14:47:23 ,08/08/2022 14:47:23 ,,,,,,,,,,Non-Fiction,,820.4 K29r,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402502550001401,22402502580001401,9952167010201401
The poems and plays of William Vaughn Moody; with an introduction by John M. Manly ...,"Book By Moody, William Vaughn, (Boston, New York, Houghton Mifflin Company, 1912.)",33086000954842,,,F.W. Olin Library,,,08/08/2022 14:47:23 ,08/08/2022 14:47:23 ,,,,,,,,,,Non-Fiction,,812 M817A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 1,0,0,,23402502840001401,22402502920001401,9952167007301401
The poems and plays of William Vaughn Moody; with an introduction by John M. Manly ...,"Book By Moody, William Vaughn, (Boston, New York, Houghton Mifflin Company, 1912.)",33086001505932,,,F.W. Olin Library,,,08/08/2022 14:47:22 ,08/08/2022 14:47:22 ,,,,,,,,,,Non-Fiction,,812 M817A,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,v. 2,0,0,,23402502900001401,22402502920001401,9952167007301401
"Tennyson, Ruskin, Mill and other literary estimates.","Book By Harrison, Frederic, (The Macmillan company, 1902 [c1900])",33086000056192,,,F.W. Olin Library,,,08/08/2022 14:47:20 ,08/08/2022 14:47:20 ,,,,,,,,,,Non-Fiction,,820.4 H319t,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402504030001401,22402504050001401,9952167010801401
The light of common day; realism in American fiction [by] Edwin H. Cady.,"Book By Cady, Edwin Harrison. (Bloomington, Indiana University Press [1971])",33086000950154,,,F.W. Olin Library,,,08/08/2022 14:47:17 ,08/08/2022 14:47:17 ,,,,,,,,,,Non-Fiction,,813.09 C126L,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402506040001401,22402476200001401,9952166853501401
"Love conquers all, by Robert C. Benchley, illustrated by Gluyas Williams.","Book By Benchley, Robert, (New York, H Holt and company, 1922.)",33086000958579,,,F.W. Olin Library,,,08/08/2022 14:47:53 ,08/08/2022 14:47:53 ,,,,,,,,,,Non-Fiction,,817 B457L,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402507180001401,22402507210001401,9952166983601401
After 1903--what?,"Book By Benchley, Robert, (Harper & brothers, 1938.)",33086000958553,,,F.W. Olin Library,,,08/08/2022 14:47:51 ,08/08/2022 14:47:51 ,,,,,,,,,,Non-Fiction,,817 B457a,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402508150001401,22402508220001401,9952166984001401
A book of hours [by] Donald Culross Peattie: decorations by Lynd Ward.,"Book By Peattie, Donald Culross, (New York, GP Putnam's Sons, 1937.)",33086000955401,,,F.W. Olin Library,,,08/08/2022 14:47:51 ,08/08/2022 14:47:51 ,,,,,,,,,,Non-Fiction,,814 P363b,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402508160001401,22402508190001401,9952166992401401
Books in black or red / by Edmund Lester Pearson.,"Book By Pearson, Edmund Lester, (New York : The Macmillan company, 1923.)",33086000955393,,,F.W. Olin Library,,,08/08/2022 14:47:50 ,08/08/2022 14:47:50 ,,,,,,,,,,Non-Fiction,,814 P361b,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402508640001401,22402508690001401,9952166992801401
"As we were saying : / by Chas. Dudley Warner, with illustrationsby Harry Whitney McVickar, and others.","Book By Warner, Charles Dudley, (New York : Harper & brothers, 1892 [1891])",33086000956235,,,F.W. Olin Library,,,08/08/2022 14:47:48 ,08/08/2022 14:47:48 ,,,,,,,,,,Non-Fiction,,814 W279a,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402509820001401,22402509850001401,9952167088701401
"The school of life, by Henry van Dyke.","Book By Van Dyke, Henry, (New York, C Scribner's Sons, 1905.)",33086000956219,,,F.W. Olin Library,,,08/08/2022 14:47:46 ,08/08/2022 14:47:46 ,,,,,,,,,,Non-Fiction,,814 V248s,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402511260001401,22402511380001401,9952167089301401
"Portraits and sketches, by Edmund Gosse.","Book By Gosse, Edmund, (London, Heinemann [c1912])",33086000957225,,,F.W. Olin Library,,,08/08/2022 14:47:46 ,08/08/2022 14:47:46 ,,,,,,,,,,Non-Fiction,,820.4 G678p,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402511300001401,22402511330001401,9952167094001401
"On doing the right thing, and other essays.","Book By Nock, Albert Jay, (New York and London, Harper & Brothers, 1928.)",33086000955328,,,F.W. Olin Library,,,08/08/2022 14:47:46 ,08/08/2022 14:47:46 ,,,,,,,,,,Non-Fiction,,814 N758o,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402511430001401,22402511480001401,9952166994001401
"Studies in the influence of the classics on English literature, by Ruth Ingersoll Goldmark.","Book By Goldmark, Ruth Ingersoll, (New York, Columbia university press, 1918.)",33086000957209,,,F.W. Olin Library,,,08/08/2022 14:47:42 ,08/08/2022 14:47:42 ,,,,,,,,,,Non-Fiction,,820.4 G619s,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402512570001401,22402512590001401,9952167094801401
"Fellow creatures, by Charles D. Stewart.","Book By Stewart, Charles D. (Boston, Little, Brown, and company, 1935.)",33086000955997,,,F.W. Olin Library,,,08/08/2022 14:47:41 ,08/08/2022 14:47:41 ,,,,,,,,,,Non-Fiction,,814 S849f,Dewey Decimal classification,,,,,,Item in place,,,Circulating,,Book,1,,0,0,,23402513260001401,22402513370001401,9952167117301401
